finding_id,track,source_record_id,source_file,journal_volume_issue_year,article_title,author,community_group,page_locator,printed_page_number,supporting_excerpt,source_access,evidence_type,exact_factual_observation,what_source_establishes,what_source_does_not_establish,author_interpretation,alternative_interpretation,response_process,outcome,transferability,article_gap_status,likely_article_destination,confidence,external_verification_needed,notes
F-011,Track A adjacent,M-0285,008-jonestown-and-bishop-hill-continuities-and-disjunctures-in-religious-conflict.pdf,"Vol. 8, no. 1 (1988)",Jonestown and Bishop Hill: Continuities and Disjunctures in Religious Conflict,John R. Hall,Peoples Temple and Bishop Hill,PDF pp. 6-13; printed pp. 82-89,82-89,,full text,comparative historical interpretation,"Both cases involved escalating conflict with defectors, relatives, custody claims, and outside authorities; the paper notes that children at Jonestown did not knowingly consent and that some adults were coerced.",External-contact and child-custody conflicts can become siege triggers when no trusted interface or appeal exists.,It does not show that outside intervention caused the underlying coercion or that a protocol would have prevented escalation.,Hall gives substantial causal weight to sect-opponent conflict and apocalyptic framing.,"The comparison risks over-symmetrizing leaders, coerced residents, relatives, and officials.","Ad hoc confrontation among leaders, relatives, courts, media, and officials.",Murder-suicide at Jonestown; assassination and later institutional dissolution at Bishop Hill.,Moderate: design trusted escalation and visitor/custody procedures before crisis.,F,Children / legal coupling / external oversight,medium,yes,Any publication use needs more balanced Jonestown sources.
F-012,Track A negative-result support,M-0253,012-the-use-of-structural-arrangements-and-organizational-strategies-by-urban-communes.pdf,"Vol. 6, no. 1 (1986)",The Use of Structural Arrangements and Organizational Strategies by Urban Communes,William L. Smith,Seven urban religious communes,PDF pp. 8-21; printed pp. 125-137,125-137,,full text,small comparative questionnaire study,"The study codes confession, mutual criticism, sanctions, reprimands, rules, trial membership, hierarchy, and permanent expulsion as commitment mechanisms but gives almost no case-level process or outcome detail.",A research tradition measured structures associated with commitment while leaving fairness and safety outcomes largely unobserved.,"It does not establish that any listed mechanism caused survival, safety, or harm.",The author explores Kanter-style commitment mechanisms and calls for a larger study.,Gatekeeper-selected respondents and self-report may make high-control structures look orderly.,"Varied sanctions and expulsions, details mostly absent.",No traceable post-intervention outcomes.,High as a research-gap finding; low as evidence for any particular rule.,C,Research/school function / success criteria,medium,no,A useful null about what the journal literature records.
F-013,Track A adjacent,M-0283,006-foreign-volunteers-in-the-kibbutz-the-dilemma-of-ideology-vs-the-work-force.pdf,"Vol. 8, no. 1 (1988)",Foreign Volunteers in the Kibbutz: The Dilemma of Ideology vs. The Work Force,Shalom Endleman,Kibbutzim,PDF pp. 9-12; printed pp. 62-65,62-65,,full text,six-month participant observation plus interviews and newspaper material,Temporary volunteers lacked access to formal decision-making and said they were blamed for drug use and other youth misconduct that members were reluctant to identify or punish internally.,A low-voice outsider group can become the default suspect when internal accountability is weak.,The article does not adjudicate the underlying drug allegations case by case.,Mutual distrust followed a deteriorating labor exchange.,Members also raised real boundary and child-influence concerns; scapegoating and genuine risk may coexist.,"Complaints among volunteers, increased segregation, stay limits, screening, orientation, and in three cases program termination.",No formal grievance outcome; some programs ended.,"High: temporary residents need conduct rules, voice, grievance access, and evidence-based attribution.",C,Membership pipeline / governance safeguards,high,no,Avoid treating either volunteers' or members' allegations as fully verified.
F-014,Track B,M-0226,010-success-in-intentional-communities-the-problem-of-evaluation.pdf,"Vol. 5, no. 1 (1985)",Success in Intentional Communities: The Problem of Evaluation,Jonathan Wagner,Intentional communities generally,PDF pp. 1-12; printed pp. 89-100,89-100,,full text,conceptual and literature review,"Wagner separates goal attainment, social merit, longevity, size, cohesion, influence, and personal growth and shows that the criteria can conflict.","Success is a vector of named outcomes, not one verdict.",The paper does not validate a modern measurement instrument.,Ambiguous criteria let analysts reach nearly any preferred conclusion.,A shorter dashboard could preserve the insight without importing all seven criteria.,Not applicable.,Methodological outcome: evaluation claims become criterion-specific.,Very high for article framing.,B,Why communities fail / plan the funeral,high,no,Use specific outcome terms rather than success or failure alone.
F-015,Both,M-0226,010-success-in-intentional-communities-the-problem-of-evaluation.pdf,"Vol. 5, no. 1 (1985)",Success in Intentional Communities: The Problem of Evaluation,Jonathan Wagner,Intentional communities generally,PDF pp. 7-11; printed pp. 95-99,95-99,,full text,conceptual and literature review,The paper warns that cohesion and member-reported fulfillment can rate authoritarian groups highly and can conceal planned exit or harm.,"Cohesion, testimony, and longevity are not safety proxies.",The examples do not quantify how often such false positives occur.,Evaluation must name the value being measured.,Cohesion remains a legitimate outcome if separately reported and not moralized.,Not applicable.,A group may look cohesive while suppressing autonomy or safety.,Very high for an explicit evaluation safeguard.,D,Founderism / community as therapist / success criteria,high,no,Directly complicates the article's reliance on observable flourishing and relational vitality.
F-016,Track B,M-0245,004-intergenerational-discontinuity-in-the-israeli-kibbutz.pdf,"Vol. 6, no. 1 (1986)",Intergenerational Discontinuity in the Israeli Kibbutz,Jack Quarter,Two Israeli kibbutzim,PDF pp. 17-28; printed pp. 17-27,17-27,,full text,participant observation interviews and small surveys,"Time-away and return policies reduced insecurity, supported exploration, and preserved a route home; former-member stigma had also declined.",An outward door works better when it includes a reversible moratorium and dignified reintegration.,The study is limited to two kibbutzim and cannot isolate causal effects.,Modernization creates both autonomy and retention tension.,Easy return may increase short-term departure while reducing permanent rupture.,"Authorized time away, family support, and return eligibility.","Substantial departure; some return; later education, work, and partners can make return harder.",High for exit and alumni design.,B,What the children will say / plan the funeral,high,no,Do not treat retention as the only desired outcome.
F-017,Track A child-adjacent,M-0245,004-intergenerational-discontinuity-in-the-israeli-kibbutz.pdf,"Vol. 6, no. 1 (1986)",Intergenerational Discontinuity in the Israeli Kibbutz,Jack Quarter,Two Israeli kibbutzim,PDF pp. 22-25; printed pp. 22-24,22-24,,full text,participant observation interviews and small surveys,The comprehensive child peer group supplied independence and support but could also be harsh toward individual children.,Collective childrearing shifts some power from parents to peers; the peer group itself needs safeguarding.,It does not document a persistently dangerous child or evaluate a protection protocol.,Peer centrality is both a resource and a cost.,The harshness may vary by cohort and institutional design.,No specific case response is documented.,No traceable child-safety outcome.,"Moderate: add adult oversight, confidential reporting, and options outside a single peer cohort.",C,What the children will say about you,medium,no,"Adjacent, not responsive to the dangerous-child question."
F-018,Track B,M-0221,005-the-kibbutz-as-an-alternative-living-community-and-the-role-of-education.pdf,"Vol. 5, no. 1 (1985)",The Kibbutz as an Alternative Living Community and the Role of Education,Maria Folling-Albers,Kibbutzim,PDF pp. 6-8; printed pp. 38-39,38-39,,full text,historical and educational analysis,The author argues that voluntary adult membership requires professional training adequate for life outside the kibbutz; earlier expectations had burdened departures with guilt.,Exit is not fully voluntary if a community-raised young adult lacks portable livelihood capacity.,The article does not compare specific credential programs or later earnings.,Education must enable a real choice for or against membership.,Portable capability may also increase attrition while making retained membership more voluntary.,Professional training plus an explicit adult choice.,About half of youth were reported to apply for membership; individual outcomes are not followed.,High for child and exit design.,B,What the children will say about you,high,no,Adds material capability to the article's moral permission to leave.
F-019,Track B,M-0247,006-a-workshop-for-the-education-and-formation-of-communal-households.pdf,"Vol. 6, no. 1 (1986)",A Workshop for the Education and Formation of Communal Households,Ronda Heard and Susan Berger,Interhouse,PDF pp. 2-10; printed pp. 41-49,41-49,,full text,program report by facilitators,"Households formed through a premove workshop were described as more stable, responsible, and crisis-resistant than rapid or advertisement-based placements; workshops used values comparison, conflict practice, consensus training, and group simulation.",Selection improves when prospective members practice together under realistic conditions before co-residence.,"No controlled comparison, denominator, or statistical test is supplied.",The facilitators attribute better functioning to preparation and group formation.,Facilitator enthusiasm and selection effects may explain part of the difference.,"Originally 40 hours, later shortened; real exercises and core-group formation.",Described as fewer crises and greater stability.,"Moderate; suitable as a candidate design, not a proven effect size.",B,From visitor to member,medium,no,The article's exercises involving disclosure also need privacy boundaries.
F-020,Track B,M-0247,006-a-workshop-for-the-education-and-formation-of-communal-households.pdf,"Vol. 6, no. 1 (1986)",A Workshop for the Education and Formation of Communal Households,Ronda Heard and Susan Berger,Interhouse,PDF pp. 3-4; printed pp. 42-43,42-43,,full text,program report by facilitators,"Outside mediators were underused because residents distrusted them, leading the program to build the mediator relationship when a house formed rather than after crisis.",Independent help is more usable if legitimacy and familiarity exist before conflict.,The paper does not quantify mediation uptake or effectiveness after the policy change.,Early relationship-building should reduce resistance to outside help.,A mediator may still be distrusted or conflicted unless selection and confidentiality are explicit.,Pre-established circuit-rider relationship.,No measured outcome yet reported.,High as a low-cost design principle; evidence strength is moderate.,C,Membership pipeline / conflict architecture,medium,no,Pairs with an independent appeal channel rather than replacing it.
F-021,Track B,M-0194,012-the-contributions-of-accounting-to-the-early-success-of-the-harmonists.pdf,"Vol. 4, no. 1 (1984)",The Contributions of Accounting to the Early Success of the Harmonists,Tonya K. Flesher and Dale L. Flesher,"Harmony Society, New Harmony, Shakers, Oneida",PDF pp. 2-12; printed pp. 110-120,110-120,,full text,archival accounting history,"The Harmony articles specified withdrawal refunds and service-based payments; several communities used budgets and departmental accounts, while trust without internal controls enabled hidden funds, losses, and failed legal proof.","Accounting, internal control, and exit valuation are governance safeguards, not merely business administration.",Recordkeeping alone does not prevent leader capture or prove overall success.,Sophisticated managerial accounting contributed to organizational capacity; weak controls created avoidable losses.,The same accounting system can also intensify surveillance unless member rights govern its use.,"Budgets, recurring reports, inventories, refund rules, and internal controls.",Improved management in some cases; material loss and costly litigation where records were absent.,High for operational design.,C,Money and land / founderism,high,no,Especially relevant to community-held property and member equity.
F-022,Track B,M-0281,004-the-rise-and-fall-of-utopia-the-oneida-community-crises-of-1852-and-1879.pdf,"Vol. 8, no. 1 (1988)",The Rise and Fall of Utopia: The Oneida Community Crises of 1852 and 1879,Lawrence Foster,Oneida Community,PDF pp. 13-18; printed pp. 13-17,13-17,,full text,historical synthesis,"After leadership, value, and sexual-status crises, Oneida ended complex marriage and converted to a joint-stock form after consultation, with provisions concerning children.",Institutional transformation can preserve assets and relationships when the original form ends.,The paper is comparatively sympathetic and does not resolve coercion in Oneida's sexual hierarchy.,Foster interprets the transition as adaptation rather than simple failure.,The transition can be both adaptive and a response to accumulated domination and conflict.,"Consultation, rule change, and legal-economic conversion.",The communal form ended; a successor enterprise continued.,High for succession and dissolution planning; use a more balanced source for sexual governance.,A,Plan the funeral at the wedding,medium,yes,Supports an existing article idea with a historical mechanism.
F-023,Track B,M-0165,008-intercommunal-relationships-among-nineteenth-century-communal-societies-in-america.pdf,"Vol. 3, no. 1 (1983)",Intercommunal Relationships among Nineteenth-century Communal Societies in America,Otohiko Okugawa,270 nineteenth-century communes,PDF pp. 13-15; printed pp. 80-82,80-82,,full text,historical database analysis,"Members, practices, and personnel frequently moved among communities at founding, during operation, and after dissolution; many residents of dissolved groups joined other communal efforts.",Movement-level continuity can exceed the lifespan of any single institution.,The database's completeness and coding reliability are not independently evaluated here.,Intercommunal relationships are central to understanding communal vitality.,Migration may reflect individual survival rather than intentional federation.,"Branching, schism, relocation, imitation, and member migration.",Ideas and members persisted across organizational deaths.,"High for alumni, fork, and federation design.",B,Founderism / plan the funeral,high,no,Sharpens the article's existing fork idea with movement-level evidence.
F-024,Track B,M-0166,009-communes-the-outside-world-seclusion-involvement.pdf,"Vol. 3, no. 1 (1983)",Communes & the Outside World: Seclusion & Involvement,Yaacov Oved,Historical religious and socialist communes,PDF pp. 6-10; printed pp. 88-92,88-92,,full text,historical comparison,"Even separatist communities depended on markets, law, neighbors, and visitors; remote socialist colonies often spent their energy on subsistence, lost skilled members, and failed to influence wider society.","External coupling is unavoidable, and cheap remoteness can reverse a movement's intended mission.",The comparison is selective and does not specify an optimal degree of separation.,Viable groups find context-specific combinations of detachment and involvement.,Remote survival may be the intended goal for some communities rather than a failure.,"Trade, legal compliance, neighbor relations, tourism, and labor mobility.",Some remote change-oriented colonies became isolated and fragile.,High for a coupling and site-selection matrix.,B,Selecting your couplings / a note on Africa,high,no,Avoid treating seclusion and involvement as one linear scale.
F-025,Track B,M-0231,015-job-harriman-and-llano-del-rio-the-chimerical-quest-for-a-secular-utopia.pdf,"Vol. 5, no. 1 (1985)",Job Harriman and Llano del Rio: The Chimerical Quest for a Secular Utopia,Knox Mellon,Llano del Rio,PDF pp. 7-13; printed pp. 200-206,200-206,,full text,historical synthesis using minutes and correspondence,"Llano admitted more people than its water, soil, food, and agricultural skill base could support; leadership conflict and debt compounded the ecological error, while dissidents included both low contributors and highly skilled hard workers.","Values fit and personal need ratios cannot substitute for site carrying capacity, capability mix, or fair treatment of dissent.",Conflicting participant testimony prevents a simple causal ranking.,"The author attributes failure to environmental, financial, political, and human factors.","Some complaints may reflect factional struggle, but labeling all critics as lazy is unsupported.","Commission disputes, resignations, departures, and eventual relocation attempts.",Population collapsed; the California colony failed.,High for intake math and dissent safeguards.,B,Math of absorption / founderism,high,no,Strong complication of moralized member categories.
F-026,Track B,M-0269,010-the-utopian-project-in-a-communal-experiment-of-the-1930-s-the-sunrise-colony-in-historical-and-comparative-pe.pdf,"Vol. 7, no. 1 (1987)",The Utopian Project in a Communal Experiment of the 1930's: The Sunrise Colony in Historical and Comparative Perspective,Francis Shor,Sunrise Colony,PDF pp. 4-13; printed pp. 85-94,85-94,,full text,historical comparison,"Recruitment downplayed debt and swampy land; screening did not resolve heterogeneous aims, farming-skill gaps, and labor conflict; work rules and fines followed, and debt plus weak farm prices helped end the project.","Recruitment truthfulness, task capability, site economics, and labor governance belong in the membership pipeline.",The paper does not isolate the effect of screening from the Depression-era economy.,The author emphasizes the interaction of utopian aspiration with material and political conditions.,"Government support and market changes, not only internal design, shaped survival.","Screening, labor managers/boards, work-day rules, and fines.",Persistent conflict and eventual failure after economic support weakened.,High for pre-purchase and pre-admission checks.,B,Choose by values / math of absorption / money and land,high,no,Values agreement is necessary but not sufficient.
F-027,Track A child-adjacent,M-0187,005-the-decline-of-the-shakers-evidence-from-the-united-states-census.pdf,"Vol. 4, no. 1 (1984)",The Decline of the Shakers: Evidence from the United States Census,William Sims Bainbridge,Shakers,PDF pp. 10-16; printed pp. 28-34,28-34,,full text,census linkage and historical records,"Many children entered with disrupted families; retention was low, especially among young males, and the communities functioned partly as refuges while bearing education and care obligations.",A community that admits vulnerable families can become a de facto care institution whether or not it planned to.,Surname and census inference cannot reconstruct each child's welfare or reasons for leaving.,Recruitment failed to offset defection and mortality.,Low retention may represent successful temporary refuge rather than failed childrearing.,"Long-term residence, schooling, and religious socialization; individual interventions are not described.",Most entrants did not remain for life.,Moderate: capacity planning must include care duties and transition support.,B,Math of absorption / children,medium,no,"Adjacent to, not a direct dangerous-child case."
F-028,Track B,M-0283,006-foreign-volunteers-in-the-kibbutz-the-dilemma-of-ideology-vs-the-work-force.pdf,"Vol. 8, no. 1 (1988)",Foreign Volunteers in the Kibbutz: The Dilemma of Ideology vs. The Work Force,Shalom Endleman,Kibbutzim,PDF pp. 2-13; printed pp. 55-66,55-66,,full text,six-month participant observation plus interviews and newspaper material,"Volunteers supplied about 7.3 percent of work hours but remained segregated, transient, low-voice workers doing undesirable jobs; both members and volunteers came to perceive exploitation.",An egalitarian member economy can externalize hierarchy onto volunteers or nonmembers.,The percentage and marriage counts rely partly on contemporaneous institutional and newspaper sources.,A structural labor shortage transformed an ideological exchange into a class boundary.,"Temporary work can be mutually beneficial if terms, voice, learning, and duration are genuinely fair.","Shorter workdays and material support alongside social separation; later screening, orientation, automation, or program closure.",Continued labor dependence with alienation; three kibbutzim ended programs by 1986.,"High for role, voice, compensation, and grievance design for nonmembers.",C,Labor and membership architecture,high,no,A major unexpected Track B finding.
F-029,Track B,M-0284,007-utopia-and-reality-some-contradictions-and-challenges-in-kibbutz-education.pdf,"Vol. 8, no. 1 (1988)",Utopia and Reality: Some Contradictions and Challenges in Kibbutz Education,Dov Darom,Kibbutzim,PDF pp. 1-10; printed pp. 67-76,67-76,,full text,educational essay with cited statistics,Children noticed the gap between professed ideals and ordinary practice; the author argues for explicit value education that also protects a student's right to reject community values.,"A community school needs institutional honesty about failures and an explicit right to dissent, not indoctrination or value-neutrality.",The essay does not evaluate a specific curriculum or long-term child outcomes.,Utopia and reality must be taught as a productive tension.,The framework may understate power differences between educator and community-raised child.,"Explicit discussion, behavioral modeling, and protected disagreement.",No measured outcome; roughly half of kibbutz-born youth were said to leave.,Moderate to high for educational governance.,B,What the children will say / internal school-research function,medium,no,The article's present child audit is retrospective; this adds an in-process right to disagree.
F-030,Source-quality warning,M-0252,011-the-rajneesh-experience-a-report.pdf,"Vol. 6, no. 1 (1986)",The Rajneesh Experience: A Report,Louis C. Androes,Rajneeshpuram,PDF pp. 1-17; printed pp. 101-117,101-117,,full text,first-person descriptive report,"The report portrays free exit, changing elected leadership, and little coercion; an editorial note states it was written before the leader's arrest and deportation and publishes it as a first-hand document rather than an authoritative assessment.",Access-rich or participant-adjacent observation can miss concealed or later-emerging harm.,This article by itself does not establish which claims were false when written.,"The author viewed work-as-worship and leadership favorably, with only a mild warning about dogma.",The report's incompleteness may reflect timing and access rather than bad faith.,No documented internal correction process.,Later events overtook the snapshot; the article does not analyze them.,High as a source-audit rule; low as substantive governance evidence.,F,Research method / source cautions,high,yes,Do not use its favorable claims as confirmed facts.
F-031,Track A negative result,,Volumes 1-8 discovery corpus,Volumes 1-8 (1981-1988),Cumulative targeted search and issue-by-issue discovery scan,Research checkpoint,Communal Societies volumes 1-8,163 PDFs; 28 relevant close reads,,No direct documented case found,full extracted corpus,systematic search result,"Across all 163 PDFs, the search found adult leader-harm cases, shunning and expulsion cases, child education and retention studies, and peer-group risks, but no strong case of managing a persistently dangerous child with documented allegation, assessment, intervention, review, and later outcome.",The specified evidence pattern is absent from the completed chunk under the recorded vocabulary and discovery scan.,"It does not prove that no such case exists in later volumes, standalone sources, unindexed archives, or different historical terminology.",Not applicable.,"Sparse reporting may reflect archival silence, euphemism, or the journal's research priorities.",Not applicable.,Bounded null for volumes 1-8.,High for this chunk; none for the full literature until the corpus is complete.,F,Research/school function / dangerous-person section,high,no,Continue forward; do not repeat this chunk's searches absent a new term or citation.
F-032,Track B negative result,M-0188,006-communal-societies-as-cyclical-phenomena.pdf,"Vol. 4, no. 1 (1984)",Communal Societies as Cyclical Phenomena,Michael Barkun,United States communal movements,PDF pp. 1-14; printed pp. 35-48,35-48,,full text,historical synthesis,"The paper identifies several historical waves of communal formation and links some to collective stress, but volumes 1-8 cannot substantiate the current article's claim of a present-day surge.",Historical cyclicality makes a contemporary revival plausible enough to test.,It provides no evidence about 2024-2026 interest or formation rates.,Communal waves are related to wider social and sometimes millennial currents.,"The 1960s wave did not fit every earlier economic pattern, so one causal template is unsafe.",Not applicable.,Historical waves documented; present trend unresolved.,"High as a verification flag, not as current evidence.",F,"Suddenly Communes Are Hot, Again",high,yes,Requires current data outside this historical corpus.
